in:Variant,in:HghtAvgGal,in:HghtAvgCorridor(s),in:HghtAvgPortieken,out:# Woningen,out:PB_tot,out:E1Ba,out:E1Bb,out:E2Ba,out:E2Bb,out:E2Bc,out:E1Pa,out:E1Passtuk,out:E1_Combi Port Pas,img
1,6,6,9,995,-45,-32,-17,-33,16,21,-24,24,0,Variant1_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL5.png
2,6,6,9,995,-280,-99,-84,-134,16,21,-24,24,0,Variant2_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL5.png
0,7,6,9,914,6,-7,1,-9,5,16,-24,24,0,Variant0_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL5.png
1,7,6,9,1047,-80,-39,-22,-41,6,16,-24,24,0,Variant1_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL5.png
2,7,6,9,1047,-315,-106,-89,-142,6,16,-24,24,0,Variant2_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken9_Birdseye_AL5.png
0,5,5,10,699,154,25,29,32,33,35,-24,24,0,Variant0_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
1,5,5,10,911,11,-25,-7,-26,34,35,-24,24,0,Variant1_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
2,5,5,10,911,-224,-92,-74,-127,34,35,-24,24,0,Variant2_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
0,6,5,10,794,90,9,18,12,22,29,-24,24,0,Variant0_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
1,6,5,10,965,-25,-32,-12,-33,23,29,-24,24,0,Variant1_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
2,6,5,10,965,-260,-99,-79,-134,23,29,-24,24,0,Variant2_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
0,7,5,10,886,24,-7,6,-9,11,23,-24,24,0,Variant0_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
1,7,5,10,1019,-62,-39,-17,-41,12,23,-24,24,0,Variant1_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
2,7,5,10,1019,-297,-106,-84,-142,12,23,-24,24,0,Variant2_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken10_Birdseye_AL5.png
0,5,6,10,729,134,25,24,32,26,27,-24,24,0,Variant0_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
1,5,6,10,941,-9,-25,-12,-26,27,27,-24,24,0,Variant1_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
2,5,6,10,941,-244,-92,-79,-127,27,27,-24,24,0,Variant2_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
0,6,6,10,824,70,9,13,12,15,21,-24,24,0,Variant0_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
1,6,6,10,995,-45,-32,-17,-33,16,21,-24,24,0,Variant1_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
2,6,6,10,995,-280,-99,-84,-134,16,21,-24,24,0,Variant2_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
0,7,6,10,914,6,-7,1,-9,5,16,-24,24,0,Variant0_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
1,7,6,10,1047,-80,-39,-22,-41,6,16,-24,24,0,Variant1_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
2,7,6,10,1047,-315,-106,-89,-142,6,16,-24,24,0,Variant2_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL5.png
0,5,5,11,699,154,25,29,32,33,35,-24,24,0,Variant0_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
1,5,5,11,911,11,-25,-7,-26,34,35,-24,24,0,Variant1_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
2,5,5,11,911,-224,-92,-74,-127,34,35,-24,24,0,Variant2_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
0,6,5,11,794,90,9,18,12,22,29,-24,24,0,Variant0_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
1,6,5,11,965,-25,-32,-12,-33,23,29,-24,24,0,Variant1_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
2,6,5,11,965,-260,-99,-79,-134,23,29,-24,24,0,Variant2_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
0,7,5,11,886,24,-7,6,-9,11,23,-24,24,0,Variant0_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
1,7,5,11,1019,-62,-39,-17,-41,12,23,-24,24,0,Variant1_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
2,7,5,11,1019,-297,-106,-84,-142,12,23,-24,24,0,Variant2_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL5.png
0,5,6,11,729,134,25,24,32,26,27,-24,24,0,Variant0_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
1,5,6,11,941,-9,-25,-12,-26,27,27,-24,24,0,Variant1_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
2,5,6,11,941,-244,-92,-79,-127,27,27,-24,24,0,Variant2_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
0,6,6,11,824,70,9,13,12,15,21,-24,24,0,Variant0_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
1,6,6,11,995,-45,-32,-17,-33,16,21,-24,24,0,Variant1_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
2,6,6,11,995,-280,-99,-84,-134,16,21,-24,24,0,Variant2_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
0,7,6,11,914,6,-7,1,-9,5,16,-24,24,0,Variant0_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
1,7,6,11,1047,-80,-39,-22,-41,6,16,-24,24,0,Variant1_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
2,7,6,11,1047,-315,-106,-89,-142,6,16,-24,24,0,Variant2_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL5.png
